UnitID,Institution Name,Grand total (EF2018  All students total),Grand total (EF2017  All students total),Grand total (EF2016  All students total),Grand total (EF2015  All students total),Grand total (EF2014  All students total),Grand total (EF2013  All students total),Grand total (EF2012  All students total),Grand total (EF2011  All students total),Grand total (EF2010  All students total),Grand total (EF2009  All students total),Grand total (EF2008  All students total),Grand total (EF2007  All students total),Grand total (EF2006  All students total),Grand total (EF2005  All students total),Grand total (EF2004  All students total),Grand total (EF2003  All students total),Grand total (EF2002  All students total),Grand total (EF2001  All students total),Grand total (EF2000  All students total),Grand total (EF1999  All students total),Grand total (EF1998  All students total),Grand total (EF1997  All students total),Grand total (EF1996  All students total),Grand total (EF1995  All students total),Grand total (EF1994  All students total),Grand total (EF1993  All students total),Grand total (EF1992  All students total),Grand total (EF1991  All students total),Grand total (EF1990  All students total),Grand total (EF1989  All students total),Grand total (EF1988  All students total),Grand total (EF1987  All students total),Grand total (EF1986  All students total),Grand total (EF1985NW  All students total),Grand total (EF1984NW  All students total),Grand total (EF1980  All students total),
128577,Asnuntuck Community College,1858,1870,1945,1571,1603,1715,1673,1687,1836,1808,1769,1792,1638,1483,1504,1476,1724,1723,1850,1719,1913,2084,2063,2093,2105,2181,2111,1996,1838,1932,1993,1960,2002,1937,1970,1729,
129367,Capital Community College,3290,3282,3302,3503,4075,4168,4425,4512,4518,4280,3989,3726,3550,3573,3436,3381,3476,3129,3042,2766,2911,2887,2828,2834,3260,3583,2921,2948,3068,2991,2927,2872,2686,3042,3430,2875,
130396,Gateway Community College,7016,7015,7217,7980,8200,8186,7976,7261,7328,6847,6471,5965,5824,5739,5595,5587,5328,4724,4157,4151,3981,4276,4537,4843,5006,5163,4355,4044,4014,3537,3158,2673,2357,2198,2245,2046,
129543,Housatonic Community College,5012,5138,5143,5369,5286,5813,6077,5975,6197,5609,5081,4475,4431,4471,4701,4678,4515,4247,3902,3829,3551,3291,2653,2665,2855,2691,2657,2382,2396,2568,2475,2394,2247,2373,2386,2600,
129695,Manchester Community College,6003,6321,6780,6891,7300,7571,7692,7499,7540,7366,6649,6484,6094,6135,5906,5717,5561,5405,5135,5192,5252,5495,5523,5812,6258,6458,6670,6131,6488,6633,5989,6047,5929,6122,6231,6615,
129756,Middlesex Community College,2547,2682,2733,2902,3005,2900,2933,2876,2952,2914,2624,2623,2474,2286,2354,2400,2440,2320,2309,2317,2273,2237,2611,2785,3010,3185,3252,3288,3228,3294,3080,2935,2911,2789,2690,3169,
129729,Naugatuck Valley Community College,6237,6373,6651,6976,7102,7294,7419,7361,7195,6725,6128,5966,5659,5667,5514,5155,5315,5223,5116,4864,4736,4889,5238,5533,5667,6008,4284,4073,4269,4167,3812,3453,3472,3536,3584,3568,
130040,Northwestern Connecticut Community College,1299,1295,1406,1521,1614,1549,1423,1701,1832,1711,1721,1632,1544,1569,1516,1543,1633,1609,1596,1698,1743,1792,1885,2089,2103,2096,2053,1940,2204,2418,2346,2167,2165,2202,2343,2468,
130004,Norwalk Community College,5413,5836,5800,6054,6363,6556,6810,6807,6740,6685,6266,6231,6040,6036,5790,6047,5717,5569,5377,5220,4974,5247,5357,5352,5244,5113,4046,3866,3698,3690,3338,3338,3058,3430,3357,3194,
130217,Quinebaug Valley Community College,1335,1524,1559,1680,1883,1929,2086,2101,2288,2110,1947,1846,1779,1714,1721,1571,1501,1501,1347,1281,1214,1220,1170,1120,1166,1160,1178,1170,1270,1283,1320,1206,1245,1214,1131,930,
129808,Three Rivers Community College,3997,4187,4245,4259,4530,4749,4980,5154,5161,4561,4132,3858,3793,3660,3764,3622,3624,3472,3574,3573,3549,3573,3707,3977,4137,4084,3253,3138,3194,3164,2819,2671,2257,2146,2099,2271,
130606,Tunxis Community College,3902,3857,3767,4055,4193,4547,4734,4740,4666,4496,4328,3836,3663,3894,3942,3983,4035,3720,3412,3455,3257,3335,3468,3725,3772,3820,3731,3496,3882,3601,3254,3051,3108,2965,3043,2603,
