Year,enrollment
1980,34068.0
1984,34509.0
1985,33954.0
1986,33437.0
1987,34767.0
1988,36511.0
1989,39278.0
1990,39549.0
1991,38472.0
1992,40511.0
1993,45542.0
1994,44583.0
1995,42828.0
1996,41040.0
1997,40326.0
1998,39354.0
1999,40065.0
2000,40817.0
2001,42642.0
2002,44869.0
2003,45160.0
2004,45743.0
2005,46227.0
2006,46489.0
2007,48434.0
2008,51105.0
2009,55112.0
2010,58253.0
2011,57674.0
2012,58228.0
2013,56977.0
2014,55154.0
2015,52761.0
2016,50548.0
2017,49380.0
2018,47909.0
2019,45905.0
2020,38978.0
